Name_simbad,Type_simbad,#bib,#not,RA_simbad,DEC_simbad
SLACS SDSS J2347-0005 source           ,LeG,4,1,356.86699999999996,-0.08925
SLACS SDSS J2300+0022 source           ,LeG,14,2,345.22146236720994,0.37721391354
SLACS SDSS J0029-0055 source           ,LeG,5,1,7.282407351709999,-0.9307172122499999
SLACS SDSS J0157-0056 source           ,LeG,4,1,29.49558333333333,-0.9405833333333333
SLACS SDSS J0252+0039 source           ,LeG,7,1,43.18837499999999,0.6662222222222223
SLACS SDSS J0330-0020 source           ,LeG,6,1,52.55058333333333,-0.34775
SLACS SDSS J2341+0000 source           ,LeG,5,1,355.29820804911,0.00518326339
[JOO2008] image A                      ,LeQ,1,1,355.7997083333333,-0.8427777777777778
[JOO2008] image B                      ,LeQ,1,1,355.80008333333325,-0.8426111111111112
NAME Eyelash                           ,LeG,211,0,323.7983333333333,-1.047777777777778
SLACS SDSS J0008-0004                  ,gLS,14,0,2.012304166666666,-0.06894722222222222
SLACS SDSS J0029-0055                  ,gLS,18,0,7.282407351709999,-0.9307172122499999
SLACS SDSS J0044+0113                  ,gLS,19,0,11.012083333333331,1.2201722222222224
SLACS SDSS J0157-0056                  ,gLS,12,0,29.49556666666666,-0.9405694444444445
SLACS SDSS J0252+0039                  ,gLS,21,0,43.188399999999994,0.6662083333333334
SLACS SDSS J0330-0020                  ,gLS,19,0,52.55055833333333,-0.3477444444444444
SLACS SDSS J2111-0038                  ,gLS,2,0,317.8011375,-0.6407027777777777
SLACS SDSS J2141-0001                  ,gLS,9,0,325.47783748117996,-0.02009171372
SLACS SDSS J2300+0022                  ,gLS,24,0,345.22146236720994,0.37721391354
SLACS SDSS J2341+0000                  ,gLS,15,0,355.29820804911,0.00518326339
SLACS SDSS J2347-0005                  ,gLS,11,0,356.86700833333333,-0.08923055555555555
SLACS SDSS J0008-0004 source           ,LeG,4,0,2.0123333333333333,-0.06894444444444445
SLACS SDSS J0044+0113 source           ,LeG,6,0,11.012083333333331,1.2201666666666668
SLACS SDSS J2111-0038 source           ,LeG,1,0,317.80125,-0.6408333333333333
SLACS SDSS J2141-0001 source           ,LeG,5,0,325.47783748117996,-0.02009171372
SL2S J220629+005728                    ,gLe,5,0,331.6208333333333,0.9577777777777777
SL2S J221326-000946                    ,gLe,10,0,333.35833333333323,-0.16277777777777777
SL2S J221929-001743                    ,gLe,7,0,334.8708333333333,-0.29527777777777775
[JSE2010] F                            ,LeG,1,0,323.8030416666666,-1.0286111111111111
[RSK2010] RXJ2129 1.1                  ,LeG,4,0,322.42037916666663,0.08831944444444444
[RSK2010] RXJ2129 1.2                  ,LeG,4,0,322.4201708333333,0.08976388888888888
[RSK2010] RXJ2129 1.3                  ,LeG,3,0,322.41795833333333,0.09326666666666666
SLACS SDSS J2343-0030                  ,gLS,5,0,355.9953036735399,-0.5062169771
[BHG2011] SDSS J2111-0114 C1           ,LeG,1,0,317.8308125,-1.244492777777778
[BHG2011] SDSS J2111-0114 B1           ,LeG,1,0,317.8330125,-1.2323333333333335
[BHG2011] SDSS J2111-0114 A1           ,LeG,7,0,317.8289583333333,-1.242052777777778
[BHG2011] SDSS J2111-0114 A2           ,LeG,1,0,317.83439999999996,-1.2423416666666667
SL2S J222012+010606                    ,gLe,4,0,335.04999999999995,1.1016666666666668
SL2S J222217+001202                    ,gLe,4,0,335.5708333333333,0.20055555555555557
SGAS J000451.7-010321                  ,LeG,7,0,1.2154166666666666,-1.0558333333333334
[MCM2012] SA122                        ,gLS,2,0,333.27874999999995,-0.5102777777777778
[MCM2012] SA123                        ,gLS,4,0,333.38291666666663,0.81
[MCM2012] SA125                        ,gLS,2,0,333.5783333333333,1.176111111111111
[MCM2012] SA126                        ,gLS,1,0,334.3725,-0.6436111111111111
[MCM2012] SA127                        ,gLS,4,0,335.4320833333333,-0.8841666666666667
[MCM2012] SA122 lens                   ,gLe,2,0,333.2788749999999,-0.5102916666666667
[MCM2012] SA123 lens                   ,gLe,1,0,333.38270833333326,0.810038888888889
[MCM2012] SA125 lens                   ,gLe,2,0,333.5784166666666,1.1760694444444446
[MCM2012] SA126 lens                   ,gLe,1,0,334.37241666666665,-0.6435
[MCM2012] SA127 lens                   ,gLe,1,0,335.43224999999995,-0.8841361111111111
SDSS J015107.37+004908.9               ,gLe,2,0,27.780712499999996,0.8191583333333333
[BBS2012] SDSS J0151+0049              ,gLS,4,0,27.780712499999996,0.8191583333333333
[BBS2012] SDSS J2303+0037              ,gLS,4,0,345.8965375,0.61755
HerS J020941.1+001557                  ,LeG,6,0,32.42195833333333,0.26622222222222225
VIRTUAL PARENT SDSS J0209+0015         ,gLS,0,0,32.42195833333333,0.26622222222222225
DES J2146-0047                         ,gLS,1,0,326.69183333333325,-0.7956388888888889
[ATO2015] DES J2146-0047 A             ,LeQ,1,0,326.69183333333325,-0.7956388888888889
[ATO2015] DES J2146-0047 B             ,LeQ,1,0,326.69179166666663,-0.7960277777777778
[ZFM2015] RXJ2129 2.1                  ,LeI,1,0,322.4185416666666,0.08488888888888889
[ZFM2015] RXJ2129 2.2                  ,LeI,1,0,322.41695,0.09030555555555556
[ZFM2015] RXJ2129 2.3                  ,LeI,1,0,322.41589999999997,0.09149722222222222
[ZFM2015] RXJ2129 3.1/4.1              ,LeI,2,0,322.4185,0.08546666666666666
[ZFM2015] RXJ2129 3.2/4.2              ,LeI,2,0,322.41767083333326,0.09026944444444444
[ZFM2015] RXJ2129 3.3/4.3              ,LeI,2,0,322.4157208333333,0.09221944444444444
[ZFM2015] RXJ2129 5.1                  ,LeI,2,0,322.41659166666665,0.08774166666666666
[ZFM2015] RXJ2129 5.2                  ,LeI,2,0,322.41627083333333,0.08810277777777778
[ZFM2015] RXJ2129 5.3                  ,LeI,3,0,322.4138791666666,0.09156944444444444
[ZFM2015] RXJ2129 6.1                  ,LeI,1,0,322.41490833333336,0.09041388888888888
[ZFM2015] RXJ2129 6.2                  ,LeI,1,0,322.41517916666663,0.08895
[ZFM2015] RXJ2129 6.3                  ,LeI,1,0,322.41664166666664,0.08675
[MOK2016] SDSS J2146-0047              ,gLS,1,0,326.69179166666663,-0.7956388888888889
[MOK2016] SDSS J2146-0047 A            ,LeQ,1,0,326.6917708333333,-0.7955833333333333
[MOK2016] SDSS J2146-0047 B            ,LeQ,1,0,326.6917416666666,-0.7959666666666667
[MOK2016] SDSS J2146-0047 G            ,gLe,1,0,326.69174999999996,-0.7957833333333333
SL2S J221045-005918                    ,gLe,1,0,332.6891666666666,-0.9883333333333333
DES J0250-0008                         ,gLS,1,0,42.534995833333326,0.13795
[NBL2016] DES J0250-0008 lens          ,gLe,1,0,42.534995833333326,0.13795
[NBL2016] DES J0250-0008 A             ,LeI,1,0,42.537079166666665,0.13722222222222222
[NBL2016] DES J0250-0008 B             ,LeI,1,0,42.53479166666666,0.13890555555555556
[OAF2017] EEL J2228 system             ,gLS,3,0,337.17008786836993,-0.30466508026
[ACS2016] HELMS RED 3                  ,LeG,3,0,9.873333333333333,0.40722222222222226
[NKC2016] HELMS14                      ,LeG,1,0,9.082499999999998,0.40555555555555556
[NKC2016] HELMS23                      ,LeG,1,0,14.671666666666665,-1.1969444444444444
[ACS2016] HELMS RED 7                  ,LeG,3,0,9.558749999999998,-0.38111111111111107
[NKC2016] HELMS25                      ,LeG,1,0,10.35,-1.0519444444444446
[NKC2016] HELMS27                      ,LeG,1,0,9.491666666666665,-1.1061111111111113
[NKC2016] HELMS34                      ,LeG,1,0,6.83125,0.20111111111111113
[NKC2016] HELMS35                      ,LeG,1,0,351.25041666666664,-0.9452777777777778
[NKC2016] HELMS43                      ,LeG,1,0,353.585,-0.5827777777777777
[NKC2016] HELMS52                      ,LeG,1,0,354.36291666666665,-0.3952777777777778
[ACS2016] HELMS RED 23                 ,LeG,3,0,11.385833333333332,-0.023055555555555555
[NKC2016] HELMS55                      ,LeG,1,0,352.13249999999994,-0.6763888888888888
[NKC2016] HERS2                        ,LeG,1,0,20.17333333333333,-0.4513888888888889
[NKC2016] HERS3                        ,LeG,1,0,21.975416666666664,0.8277777777777777
[NKC2016] HERS4                        ,LeG,1,0,19.16708333333333,-0.08166666666666667
[NKC2016] HERS6                        ,LeG,1,0,15.754999999999999,-0.5502777777777779
[NKC2016] HERS7                        ,LeG,1,0,15.390833333333331,0.5325000000000001
[NKC2016] HERS10                       ,LeG,1,0,19.34291666666666,0.9400000000000001
[NKC2016] HERS11                       ,LeG,1,0,14.697083333333332,-1.0047222222222223
[NKC2016] HERS12                       ,LeG,1,0,21.442916666666665,-0.19527777777777777
[NKC2016] HERS14                       ,LeG,1,0,25.238749999999992,-1.0963888888888889
[NKC2016] HERS15                       ,LeG,1,0,20.27875,0.5825
[NKC2016] HERS16                       ,LeG,1,0,33.64333333333333,0.9905555555555555
[NKC2016] HERS17                       ,LeG,1,0,33.51083333333333,-0.77
[NKC2016] HERS18                       ,LeG,1,0,23.05083333333333,0.29833333333333334
[NKC2016] HERS19                       ,LeG,1,0,31.37125,0.08361111111111111
[NKC2016] HERS20                       ,LeG,1,0,15.692083333333333,1.0952777777777778
[SBK2016] SDSS J2245+0040 system       ,gLS,2,0,341.27470416666665,0.671761111111111
[SBK2016] SDSS J0057+0016 system       ,gLS,1,0,14.472162499999998,0.2668611111111111
[SBK2016] SDSS J0151+0055 system       ,gLS,1,0,27.908816666666667,0.9331166666666666
[SBK2016] SDSS J0151-0000 system       ,gLS,1,0,27.938974999999996,-0.00035833333333333333
[SBK2016] SDSS J0217-0022 system       ,gLS,1,0,34.4250875,-0.36846666666666666
[SBK2016] SDSS J2120-0009 system       ,gLS,1,0,320.1984999999999,-0.15314166666666665
[SBK2016] SDSS J2314-0110 system       ,gLS,1,0,348.5751208333333,-1.1741666666666668
[SBK2016] SDSS J2245+0040 source       ,LeG,1,0,341.27470416666665,0.671761111111111
[SBK2016] SDSS J0057+0016 source       ,LeG,1,0,14.472162499999998,0.2668611111111111
[SBK2016] SDSS J0151+0055 source       ,LeG,1,0,27.908816666666667,0.9331166666666666
[SBK2016] SDSS J0151-0000 source       ,LeG,1,0,27.938974999999996,-0.00035833333333333333
[SBK2016] SDSS J0217-0022 source       ,LeG,1,0,34.4250875,-0.36846666666666666
[SBK2016] SDSS J2120-0009 source       ,LeG,1,0,320.1984999999999,-0.15314166666666665
[SBK2016] SDSS J2314-0110 source       ,LeG,1,0,348.5751208333333,-1.1741666666666668
[RER2016] MACSJ2135-0509               ,LeG,1,0,323.7954166666666,-1.0533333333333335
[RER2016] MACSJ2135-0763               ,LeG,1,0,323.7843333333333,-1.0447222222222223
[RER2016] MACSJ2135-1078               ,LeG,1,0,323.81174999999996,-1.0402777777777779
[H2019] SDSS J001849.64-004914.4 system,gLS,1,0,4.706833333333333,-0.8206666666666667
[H2019] SDSS J012955.90+000812.4 system,gLS,1,0,22.482916666666664,0.13677777777777778
[H2019] SDSS J013630.38+003717.4 system,gLS,1,0,24.126583333333333,0.6215
[H2019] SDSS J034155.80-001255.1 system,gLS,1,0,55.482499999999995,-0.21530555555555556
[H2019] SDSS J001849.64-004914.4 source,LeG,1,0,4.706833333333333,-0.8206666666666667
[H2019] SDSS J012955.90+000812.4 source,LeG,1,0,22.482916666666664,0.13677777777777778
[H2019] SDSS J013630.38+003717.4 source,LeG,1,0,24.126583333333333,0.6215
[H2019] SDSS J034155.80-001255.1 source,LeG,1,0,55.482499999999995,-0.21530555555555556
[SBD2020] SDSS J0004-0103 1.1          ,LeI,1,0,1.2154625,-1.0559166666666666
[SBD2020] SDSS J0004-0103 1.2          ,LeI,1,0,1.21535,-1.0558583333333333
[SBD2020] SDSS J0004-0103 1a.1         ,LeI,1,0,1.215583333333333,-1.0559972222222223
[SBD2020] SDSS J0004-0103 1a.2         ,LeI,1,0,1.2151416666666663,-1.0557611111111112
[SBD2020] SDSS J0004-0103 1a.3         ,LeI,1,0,1.2148666666666665,-1.0555222222222223
[SBD2020] SDSS J0004-0103 1b.1         ,LeI,1,0,1.2158208333333331,-1.0559055555555557
[SBD2020] SDSS J0004-0103 1b.2         ,LeI,1,0,1.2152749999999999,-1.0556666666666668
[SBD2020] SDSS J0004-0103 1b.3         ,LeI,1,0,1.2147999999999999,-1.055188888888889
[SBD2020] SDSS J0004-0103 1c.1         ,LeI,1,0,1.214795833333333,-1.0553138888888889
[SBD2020] SDSS J0004-0103 1c.2         ,LeI,1,0,1.215225,-1.0557194444444444
[SBD2020] SDSS J0004-0103 1c.3         ,LeI,1,0,1.2156874999999998,-1.0559416666666668
[SBD2020] SDSS J0004-0103 1d.1         ,LeI,1,0,1.2153833333333333,-1.0558750000000001
[SBD2020] SDSS J0004-0103 1d.2         ,LeI,1,0,1.2154291666666666,-1.0559
[SBD2020] SDSS J0004-0103 1.3          ,LeI,1,0,1.2147541666666664,-1.0553666666666668
[SBD2020] SDSS J2111-0114 1.1          ,LeI,1,0,317.82784999999996,-1.2412027777777779
[SBD2020] SDSS J2111-0114 1a.1         ,LeI,1,0,317.82852916666667,-1.2417361111111112
[SBD2020] SDSS J2111-0114 1a.2         ,LeI,1,0,317.8282583333333,-1.241513888888889
[SBD2020] SDSS J2111-0114 1b.1         ,LeI,1,0,317.82834166666663,-1.241775
[SBD2020] SDSS J2111-0114 1b.2         ,LeI,1,0,317.82845,-1.2418583333333333
[SBD2020] SDSS J2111-0114 1c.1         ,LeI,1,0,317.8289083333333,-1.2422472222222223
[SBD2020] SDSS J2111-0114 1c.2         ,LeI,1,0,317.8279416666666,-1.2415916666666666
[SBD2020] SDSS J2111-0114 1d.1         ,LeI,1,0,317.82869999999997,-1.2420083333333334
[SBD2020] SDSS J2111-0114 1d.2         ,LeI,1,0,317.8281208333333,-1.241577777777778
[SBD2020] SDSS J2111-0114 2.1          ,LeI,1,0,317.83386249999995,-1.2412138888888888
[SBD2020] SDSS J2111-0114 2.2          ,LeI,1,0,317.83273749999995,-1.241775
[SBD2020] SDSS J2111-0114 3.1          ,LeI,1,0,317.82702499999994,-1.2411
[SBD2020] SDSS J2111-0114 3.2          ,LeI,1,0,317.8306541666666,-1.2429583333333334
[SBD2020] SDSS J2111-0114 3.3          ,LeI,1,0,317.83382083333333,-1.2426361111111113
[SSM2017b] RCS0224 A1                  ,LeG,1,0,36.140826,-0.038235783333333336
[SSM2017b] RCS0224 A2                  ,LeG,1,0,36.139832999999996,-0.039005227777777776
[SSM2017b] RCS0224 A3                  ,LeG,1,0,36.13874199999999,-0.040753058333333335
[SSM2017b] RCS0224 A4                  ,LeG,1,0,36.14348999999999,-0.04278546666666667
[SSM2017b] RCS0224 B1                  ,LeG,1,0,36.14474799999999,-0.042371597222222224
[SSM2017b] RCS0224 B2                  ,LeG,1,0,36.145090999999994,-0.041225427777777775
[SSM2017b] RCS0224 B3                  ,LeG,1,0,36.143674999999995,-0.039536975
[SSM2017b] RCS0224 B4                  ,LeG,1,0,36.141662999999994,-0.039894483333333335
[SSM2017b] RCS0224 B5                  ,LeG,1,0,36.14031599999999,-0.043556391666666666
[SSM2017b] RCS0224 B6                  ,LeG,1,0,36.14247499999999,-0.04186014444444444
[SSM2017b] RCS0224 C1                  ,LeG,1,0,36.14524999999999,-0.03783888888888889
[SSM2017b] RCS0224 C2                  ,LeG,1,0,36.141738999999994,-0.043416675
[SSM2017b] RCS0224 D1                  ,LeG,1,0,36.139019999999995,-0.043164191666666664
[SSM2017b] RCS0224 D2                  ,LeG,1,0,36.14279799999999,-0.03823783888888889
[SSM2017b] RCS0224 D3                  ,LeG,1,0,36.140497999999994,-0.039206811111111114
